reach,km downstream,Cl (mg/L),access
SIM070,6.95,142.0,easy
SIM071,7.05,133.8,easy
SIM072,7.15,112.3,easy
SIM073,7.25,97.8,hard
SIM074,7.35,83.1,hard
SIM075,7.45,76.7,hard
SIM076,7.55,64.8,hard
SIM077,7.65,67.5,hard
SIM078,7.75,65.4,hard
SIM079,7.85,54.0,hard
SIM080,7.95,54.1,hard
SIM081,8.05,56.4,hard
SIM082,8.15,51.7,easy
SIM083,8.25,137.6,easy
SIM084,8.35,134.1,easy
SIM085,8.45,110.3,easy
SIM086,8.55,102.1,hard
SIM087,8.65,92.1,hard
SIM088,8.75,82.6,hard
SIM089,8.85,63.1,hard
SIM090,8.95,59.4,easy
SIM091,9.05,167.5,easy
SIM092,9.15,142.1,easy
SIM093,9.25,112.5,easy
SIM094,9.35,103.7,hard
SIM095,9.45,100.4,hard
SIM096,9.55,79.9,hard
SIM097,9.65,67.6,hard
SIM098,9.75,70.7,hard
SIM099,9.85,62.6,hard
SIM100,9.95,56.4,hard
SIM101,10.05,58.9,hard
SIM102,10.15,57.4,hard
SIM103,10.25,59.5,easy
SIM104,10.35,158.3,easy
SIM105,10.45,143.9,easy
SIM106,10.55,124.7,easy
SIM107,10.65,97.8,hard
SIM108,10.75,100.5,hard
SIM109,10.85,78.9,hard
SIM110,10.95,76.8,hard
SIM111,11.05,68.2,hard
SIM112,11.15,76.1,hard
SIM113,11.25,72.2,hard
SIM114,11.35,66.4,hard
SIM115,11.45,65.4,hard
SIM116,11.55,66.0,hard
SIM117,11.65,62.1,easy
SIM118,11.75,150.1,easy
SIM119,11.85,140.6,easy
SIM120,11.95,121.5,easy
SIM121,12.05,102.1,hard
SIM122,12.15,91.2,hard
SIM123,12.25,86.0,hard
SIM124,12.35,72.7,easy
SIM125,12.45,79.8,easy
SIM126,12.55,74.6,easy
SIM127,12.65,58.8,easy
SIM128,12.75,66.0,easy
SIM129,12.85,58.9,easy
SIM130,12.95,168.8,easy
SIM131,13.05,151.9,easy
SIM132,13.15,129.7,easy
SIM133,13.25,117.6,hard
SIM134,13.35,103.9,hard
SIM135,13.45,84.2,hard
SIM136,13.55,94.1,hard
SIM137,13.65,89.1,hard
SIM138,13.75,68.4,hard
SIM139,13.85,61.3,hard
SIM140,13.95,63.5,hard
SIM141,14.05,58.7,easy
SIM142,14.15,160.7,easy
SIM143,14.25,152.6,easy
SIM144,14.35,130.3,easy
SIM145,14.45,124.2,hard
SIM146,14.55,99.4,hard
SIM147,14.65,94.4,hard
SIM148,14.75,87.5,hard
SIM149,14.85,83.3,hard
SIM150,14.95,74.1,easy
SIM151,15.05,171.6,easy
SIM152,15.15,158.7,easy
SIM153,15.25,128.7,easy
SIM154,15.35,105.3,hard
SIM155,15.45,104.5,hard
SIM156,15.55,96.0,hard
SIM157,15.65,84.4,hard
SIM158,15.75,81.7,hard
SIM159,15.85,82.1,hard
SIM160,15.95,75.7,hard
SIM161,16.05,77.2,hard
SIM162,16.15,80.6,hard
SIM163,16.25,76.9,hard
SIM164,16.35,66.3,hard
SIM165,16.45,67.5,easy
SIM166,16.55,58.1,easy
SIM167,16.65,145.5,easy
SIM168,16.75,128.1,easy
SIM169,16.85,123.9,hard
SIM170,16.95,110.5,hard
SIM171,17.05,104.8,hard
SIM172,17.15,88.7,hard
SIM173,17.25,92.7,hard
SIM174,17.35,82.6,hard
SIM175,17.45,79.5,hard
SIM176,17.55,83.0,hard
SIM177,17.65,76.8,hard
SIM178,17.75,77.2,easy
SIM179,17.85,177.7,easy
SIM180,17.95,151.0,easy
SIM181,18.05,148.8,easy
SIM182,18.15,120.9,hard
SIM183,18.25,111.7,hard
SIM184,18.35,104.1,hard
SIM185,18.45,92.5,easy
SIM186,18.55,82.5,easy
SIM187,18.65,91.2,easy
SIM188,18.75,84.2,easy
SIM189,18.85,77.4,easy
SIM190,18.95,165.6,easy
SIM191,19.05,167.9,easy
SIM192,19.15,142.8,easy
SIM193,19.25,125.7,hard
SIM194,19.35,114.5,hard
SIM195,19.45,107.6,hard
SIM196,19.55,84.1,hard
SIM197,19.65,96.2,hard
SIM198,19.75,87.8,hard
SIM199,19.85,90.0,hard
SIM200,19.95,85.6,hard
SIM201,20.05,83.5,hard
SIM202,20.15,86.6,easy
SIM203,20.25,173.4,easy
SIM204,20.35,166.0,easy
SIM205,20.45,146.3,easy
SIM206,20.55,119.9,hard
SIM207,20.65,114.2,hard
SIM208,20.75,95.7,hard
SIM209,20.85,94.5,hard
SIM210,20.95,97.9,hard
SIM211,21.05,97.2,hard
SIM212,21.15,87.7,hard
SIM213,21.25,82.9,easy
SIM214,21.35,188.4,easy
SIM215,21.45,172.5,easy
SIM216,21.55,146.1,easy
SIM217,21.65,136.5,hard
SIM218,21.75,117.0,hard
SIM219,21.85,106.7,hard
SIM220,21.95,100.4,hard
SIM221,22.05,95.3,hard
SIM222,22.15,94.6,hard
SIM223,22.25,90.3,hard
SIM224,22.35,101.0,hard
SIM225,22.45,87.7,hard
SIM226,22.55,90.8,hard
SIM227,22.65,91.2,easy
SIM228,22.75,189.4,easy
SIM229,22.85,172.1,easy
SIM230,22.95,151.4,easy
SIM231,23.05,122.6,hard
SIM232,23.15,123.8,hard
SIM233,23.25,125.8,hard
SIM234,23.35,108.1,hard
SIM235,23.45,98.7,hard
SIM236,23.55,98.5,hard
SIM237,23.65,93.5,hard
SIM238,23.75,97.8,hard
SIM239,23.85,95.8,hard
SIM240,23.95,103.1,hard
